"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D5";"D_SOD-123";1;"MMSD4148T1G";;;
2;"RV2,RV1";"RV_Disc_D12mm_W3.9mm_P7.5mm";2;"10561K";;;
3;"U3";"ESP32-WROOM-32E";1;"ESP32-WROOM-32E-N4";;;
4;"R16";"R_0402_1005Metric";1;"1k";;;
5;"R15,R11,R8,R12,R10,R14,R13";"R_0402_1005Metric";7;"10k";;;
6;"Q4";"SOT-23";1;"BC817-25-HT";;;
7;"K1";"Relay_SPDT_SANYOU_SRD_Series_Form_C";1;"SRD-05VDC-SL-C";;;
8;"J5";"PinHeader_1x05_P2.54mm_Vertical";1;"MAX6675";;;
9;"L1";"LFU09V-103";1;"LFU09V-103";;;
10;"R7,R6";"R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal";2;"33k 1W 500V";;;
11;"F3,F4";"Fuseholder_Clip-5x20mm_Littelfuse_445-030_Inline_P20.50x5.20mm_D1.30mm_Horizontal";2;"250VAC 2.5A Normal";;;
12;"U1";"DIP-6_W7.62mm";1;"4N28";;;
13;"U6";"SOT-23-5";1;"SN74LVC1G14DBVR";;;
14;"D3,D2,D4,D1";"D_DO-41_SOD81_P10.16mm_Horizontal";4;"1N4007-HT";;;
15;"C5,C8,C6";"C_0402_1005Metric";3;"100n";;;
16;"R2,R3";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";2;"360 1/2W 350V";;;
17;"J3";"SolderWire-1.5sqmm_1x02_P7.8mm_D1.7mm_OD3.9mm";1;"Mains";;;
18;"R4";"R_0402_1005Metric";1;"200";;;
19;"F1,F2";"Fuseholder_Clip-5x20mm_Littelfuse_445-030_Inline_P20.50x5.20mm_D1.30mm_Horizontal";2;"250VAC 1A Slow Blow";;;
20;"Q1";"TO-220-3_Vertical";1;"BTA12-600BW";;;
21;"Q3,Q2";"SOT-23-3";2;"S8050-J3Y";;;
22;"C4";"C_Rect_L13.0mm_W4.0mm_P10.00mm_FKS3_FKP3_MKS4";1;"10n 305VAC X2";;;
23;"R1";"SolderWire-1.5sqmm_1x02_P7.8mm_D1.7mm_OD3.9mm";1;"Heater 500W";;;
24;"R9";"R_0603_1608Metric";1;"180 1/10W";;;
25;"C7";"C_0603_1608Metric";1;"10uF";;;
26;"C3";"CP_Radial_Tantal_D5.0mm_P5.00mm";1;"100uF 16V";;;
27;"C1";"C_Rect_L18.0mm_W5.0mm_P15.00mm_FKS3_FKP3";1;"100n 275VAC X2";;;
28;"PS1";"Converter_ACDC_Hi-Link_HLK-PMxx";1;"HLK-PM01";;;
29;"R5";"R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal";1;"47 2W 500V";;;
30;"C2";"C_Radial_D6.3mm_H11.0mm_P2.50mm";1;"220uF 16V";;;
31;"U2";"SOT-223-3_TabPin2";1;"TLV1117-33";;;
32;"U5";"DIP-6_W7.62mm";1;"MOC3053M";;;
33;"J4";"SolderWire-0.75sqmm_1x02_P7mm_D1.25mm_OD3.5mm";1;"Fan";;;
