Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n 275VAC X2","C_Rect_L18.0mm_W5.0mm_P15.00mm_FKS3_FKP3",108.000000,-83.500000,-90.000000,top
"C2","220uF 16V","C_Radial_D6.3mm_H11.0mm_P2.50mm",169.537500,-88.500000,90.000000,top
"C3","100uF 16V","CP_Radial_Tantal_D5.0mm_P5.00mm",177.750000,-89.750000,90.000000,top
"C4","10n 305VAC X2","C_Rect_L13.0mm_W4.0mm_P10.00mm_FKS3_FKP3_MKS4",141.000000,-124.450000,180.000000,top
"C5","100n","C_0402_1005Metric",202.750000,-113.250000,0.000000,top
"C6","100n","C_0402_1005Metric",191.750000,-86.750000,90.000000,top
"C7","10uF","C_0603_1608Metric",188.750000,-83.475000,90.000000,top
"C8","100n","C_0402_1005Metric",189.955000,-83.610000,-90.000000,top
"D1","1N4007-HT","D_DO-41_SOD81_P10.16mm_Horizontal",174.330000,-119.750000,180.000000,top
"D2","1N4007-HT","D_DO-41_SOD81_P10.16mm_Horizontal",187.830000,-119.750000,180.000000,top
"D3","1N4007-HT","D_DO-41_SOD81_P10.16mm_Horizontal",187.830000,-124.750000,180.000000,top
"D4","1N4007-HT","D_DO-41_SOD81_P10.16mm_Horizontal",174.330000,-124.750000,180.000000,top
"D5","MMSD4148T1G","D_SOD-123",138.000000,-109.500000,180.000000,top
"F1","250VAC 1A Slow Blow","Fuseholder_Clip-5x20mm_Littelfuse_445-030_Inline_P20.50x5.20mm_D1.30mm_Horizontal",73.237500,-87.750000,0.000000,top
"F2","250VAC 1A Slow Blow","Fuseholder_Clip-5x20mm_Littelfuse_445-030_Inline_P20.50x5.20mm_D1.30mm_Horizontal",73.237500,-99.750000,0.000000,top
"F3","250VAC 2.5A Normal","Fuseholder_Clip-5x20mm_Littelfuse_445-030_Inline_P20.50x5.20mm_D1.30mm_Horizontal",93.287500,-111.750000,180.000000,top
"F4","250VAC 2.5A Normal","Fuseholder_Clip-5x20mm_Littelfuse_445-030_Inline_P20.50x5.20mm_D1.30mm_Horizontal",73.237500,-123.750000,0.000000,top
"J5","MAX6675","PinHeader_1x05_P2.54mm_Vertical",199.840000,-123.500000,90.000000,top
"K1","SRD-05VDC-SL-C","Relay_SPDT_SANYOU_SRD_Series_Form_C",124.950000,-109.550000,180.000000,top
"L1","LFU09V-103","LFU09V-103",119.000000,-91.000000,0.000000,top
"PS1","HLK-PM01","Converter_ACDC_Hi-Link_HLK-PMxx",131.250000,-91.250000,0.000000,top
"Q1","BTA12-600BW","TO-220-3_Vertical",125.000000,-124.950000,180.000000,top
"Q2","S8050-J3Y","SOT-23-3",180.250000,-94.250000,0.000000,top
"Q3","S8050-J3Y","SOT-23-3",180.250000,-99.250000,0.000000,top
"Q4","BC817-25-HT","SOT-23",129.062500,-107.450000,180.000000,top
"R2","360 1/2W 350V","R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal",147.900000,-114.750000,0.000000,top
"R3","360 1/2W 350V","R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal",160.600000,-109.750000,180.000000,top
"R4","200","R_0402_1005Metric",159.740000,-122.250000,180.000000,top
"R5","47 2W 500V","R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal",144.370000,-118.950000,180.000000,top
"R6","33k 1W 500V","R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal",167.130000,-104.750000,0.000000,top
"R7","33k 1W 500V","R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal",167.130000,-112.750000,0.000000,top
"R8","10k","R_0402_1005Metric",198.750000,-110.260000,-90.000000,top
"R9","180 1/10W","R_0603_1608Metric",201.250000,-118.250000,180.000000,top
"R10","10k","R_0402_1005Metric",191.250000,-90.750000,180.000000,top
"R11","10k","R_0402_1005Metric",191.750000,-84.750000,-90.000000,top
"R12","10k","R_0402_1005Metric",215.510000,-102.000000,180.000000,top
"R13","10k","R_0402_1005Metric",175.250000,-99.240000,-90.000000,top
"R14","10k","R_0402_1005Metric",177.250000,-96.760000,90.000000,top
"R15","10k","R_0402_1005Metric",137.000000,-106.000000,0.000000,top
"R16","1k","R_0402_1005Metric",132.500000,-108.000000,0.000000,top
"RV1","10561K","RV_Disc_D12mm_W3.9mm_P7.5mm",100.237500,-85.250000,-90.000000,top
"RV2","10561K","RV_Disc_D12mm_W3.9mm_P7.5mm",132.750000,-112.800000,0.000000,top
"U1","4N28","DIP-6_W7.62mm",187.945000,-109.210000,0.000000,top
"U2","TLV1117-33","SOT-223-3_TabPin2",170.037500,-96.250000,-90.000000,top
"U3","ESP32-WROOM-32E-N4","ESP32-WROOM-32E",202.515000,-87.800000,0.000000,top
"U5","MOC3053M","DIP-6_W7.62mm",149.210000,-126.555000,90.000000,top
"U6","SN74LVC1G14DBVR","SOT-23-5",200.250000,-115.750000,0.000000,top
